whole screen   mean|d| 4.2137   max 255   n_over8 81827
  estimator: mean |d| over all channels, top-anchored on the common 853x1844 region; n_over counts pixels with any channel differing by > 8.0

band          mean|d|    max   n_over8
--------------------------------------
display       13.7110    255     13320
lede          12.7701    255     10997
terms         10.6657    255      5914
labConfirm     8.3835    255      3684
checkbox       7.1859    171       773
eyePass        7.0040    217       782
eyeConf        6.8625    211       763
oneacct        6.3291    255      4362
monogram       5.5289    255      1414
fieldEmail     4.8055    255      5868
plate          4.7206    255     11491
labFirst       4.6190    255      2132
helpPass       4.5714    228      2450
labPass        4.2860    255      2150
wordmark       4.1879    255      2924
labLast        3.5723    255      1758
signin         3.4560    255      3183
labEmail       2.5239    255      1158
orrow          2.4379    213       519
fieldFirst     2.1975    255      1402
fieldConf      1.9180    166      1627
fieldPass      1.8008    169      1311
fieldLast      1.7583    255      1663
